Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",29.1259994506836,28.3470001220703,27.4650001525879,26.3139991760254,25.2660007476807,26.2329998016357,27.2399997711182,28.0419998168945,29.0170001983643,29.6499996185303,30.3560009002686,28.3600006103516,26.6110000610352,30.8449993133545,30.2980003356934,23.6639995574951
Child employment in agriculture (% of economically active children ages 7-14),,,,,,,,,,,,,,,,
Adjusted net national income per capita (annual % growth),7.98645909673634,0.254765249669958,5.08915640247072,0.945586593045661,5.30327492123024,-1.77067736955424,10.0585460513825,-3.15634773502971,7.82592861583827,-1.49047703665384,0.219941006864801,5.29331675888973,7.05779648952229,8.86502352982342,5.62971367325274,3.32739150806518
Adjusted net national income per capita (constant 2010 US$),3612.50883071692,3621.71224785884,3806.02684859982,3842.01612820789,4045.76880600476,3974.13129333235,4373.87111961459,4235.81653759752,4567.30851612777,4499.23383150175,4509.12949169196,4747.81199875572,5082.90290733302,5533.50344606618,5845.02384617927,6039.51067328143
Adjusted net national income per capita (current US$),1973.12152850247,1743.75006681906,1639.46460993874,2440.59128381916,3109.60398404571,3246.67520372086,3525.09926971933,3703.72607723022,3609.66551651589,3704.44877343537,4509.12949169196,4907.79140439769,5041.94505706981,5005.24958989805,4952.82961527177,4378.25235054741
Adjusted net national income (annual % growth),9.86670016576679,1.88050974433227,6.69407115411751,2.45001970916061,6.90755084148691,-0.196378110782305,11.9321282483662,-1.42724681986986,9.80778383705881,0.324583367541308,2.04177676251905,7.1730558528795,8.94822175649739,10.7858990698383,7.51765604639468,5.21238477172648
Adjusted net national income (constant 2010 US$),6482903584.84849,6604815218.47723,7046946248.80008,7219597820.78963,7718295210.81156,7703138168.49196,8622286493.90527,8499225184.12094,9332810818.00439,9363103569.64372,9554277242.5793,10239610885.5285,11155873974.568,12359135281.8233,13288252562.6193,13980887415.6219
Adjusted net national income (current US$),3540906674.52621,3180028171.85605,3035506432.9876,4586156571.47641,5932331452.54328,6293095480.87622,6949088117.0853,7431578226.12751,7375968858.45547,7709120893.26503,9554277242.5793,10584638629.6559,11065980340.1359,11179275011.5332,11259911432.2473,10135233879.2916
Adjusted savings: net national savings (% of GNI),17.4472762708417,12.1651289834106,15.5257963948668,13.9155188496116,18.8344687074603,19.4294057198324,24.7880624301818,19.4919847688126,17.2265218951725,6.68435111793941,7.80043990329347,3.8553587538733,9.01606214805791,9.44674821602472,11.6420510218516,4.36382969273826
Adjusted savings: net national savings (current US$),687749949.04083,431333748.089234,527106443.653356,718073240.467695,1260077188.16742,1388988792.49968,1964924798.07718,1672119113.83137,1438103538.75154,582128198.270724,846299565.457145,465539766.052604,1126564062.93412,1193300847.88305,1485474936.84251,506103015.72749
Adjusted savings: gross savings (% of GNI),27.507417,22.401309,25.91041625,24.85029766,29.91807221,31.02015016,35.80136515,29.15769842,27.46660696,17.24237857,18.32712985,14.72542744,19.12226309,19.89218195,22.13335752,15.16399456
Adjusted savings: natural resources depletion (% of GNI),0.111896234575063,0.0758392655755888,0.205251693448247,0.190236552896383,0.245391138052398,0.380391689441984,1.32205471919721,3.70396892977408,1.40585306788248,0.921143259730827,1.41044379451955,1.47344700937239,1.33108899521138,1.05400376330476,1.26185732627464,1.80965334764257
Adjusted savings: particulate emission damage (% of GNI),1.05147944877977,1.00797840736949,0.913048293995832,0.81540617765792,0.74295329478602,0.741175065022823,0.68092283221975,0.667613456861245,0.639548033102971,0.630446661399896,0.613462960207352,0.5799588674951,0.556920565749703,0.53037483961434,0.451926648455241,0.413379293485093
Adjusted savings: particulate emission damage (current US$),41448013.2079025,35739457.0198637,30998322.204652,42076861.2809964,49705596.3284419,52985864.4902397,53976068.6166594,57271193.0113379,53390713.1807446,54904473.5429234,66556943.337046,70030814.959192,69587663.103864,66996254.3019862,57663869.3913509,47942408.8021239
Adjusted savings: energy depletion (% of GNI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adjusted savings: energy depletion (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adjusted savings: mineral depletion (% of GNI),0.111896234575063,0.0758392655755888,0.205251693448247,0.190236552896383,0.245391138052398,0.380391689441984,1.32205471919721,3.70396892977408,1.40585306788248,0.921143259730827,1.41044379451955,1.47344700937239,1.33108899521138,1.05400376330476,1.26185732627464,1.80965334764257
Adjusted savings: mineral depletion (current US$),4410810.51461724,2689000.23317981,6968369.7657599,9816649.99128094,16417334.62414,27193821.623459,104797948.991873,317744822.703864,117363347.296071,80220721.0056957,153024442.877848,177920712.396737,166320617.79823,133140373.349843,161007491.595235,209877809.435902
Adjusted savings: consumption of fixed capital (% of GNI),10.0601407304783,10.2361800167527,10.3846198565429,10.9347788061443,11.0836035025813,11.5907444407902,11.0133027216021,9.66571365222593,10.2400850621357,10.5580274550651,10.5266899438315,10.8700686832954,10.1062009392832,10.4454337347892,10.4913064972822,10.8001648694571
Adjusted savings: consumption of fixed capital (current US$),396558245.95917,362939833.910766,352561627.246644,564260099.532305,741523222.832576,828610733.500318,873013438.922825,829172849.168627,854862209.248461,919479750.729276,1142080861.54286,1312575444.9474,1262777763.06588,1319453493.11695,1338644954.15749,1252568591.27251
Adjusted savings: net forest depletion (% of GNI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adjusted savings: net forest depletion (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adjusted savings: carbon dioxide damage (% of GNI),0.602503187464621,0.864868039797027,0.823272099392168,0.607025642652605,0.52059498064891,0.607501021022751,0.58814032382143,0.579531580825971,0.881636102275816,0.808465504463528,0.684996492086926,0.589893560231289,0.71490869151198,0.575702857741685,0.85715441447899,1.03542966880737
Adjusted savings: carbon dioxide damage (current US$),23749926.9251693,30665254.2457181,27950387.6923899,31323939.4791741,34829220.275819,43429640.7105958,46621292.4177063,49715092.8887705,73600695.8508133,70407816.5813748,74317889.8600412,71230442.4977611,89328403.7876929,72722030.1168285,109369165.048544,120085822.512541
Adjusted savings: education expenditure (% of GNI),6.52,6.36,6.57999999999994,6.79999999999996,7.01999999999998,7.24,7.46000000000002,7.67999999999995,7.89999999999997,8.11999999999999,8.34,6.97474186661857,5.60948373323704,4.24422559985551,2.87896746647394,2.87896746647394
Adjusted savings: education expenditure (current US$),257010297.6612,225503785.5816,223393397.093998,350895865.827998,469657095.101999,517580362.6064,591346703.073002,658828484.966396,659507358.784998,707156294.837999,904838504.4198,842209481.439512,700909408.309658,536125012.660257,367343692.911581,333893442.126864
"Services, value added (% of GDP)",57.4281792192734,56.6689186496372,54.6460863701067,59.5402659782574,58.0571628159209,56.7312143357623,52.8337949477141,52.9506785362289,51.4945880344374,55.8094158698986,57.2209871044919,57.6278660257899,55.8898071191229,57.2655696926597,57.9071065280259,59.0706540014502
"Services, value added (constant LCU)",28869381400,29835470100,30141165600,32164435700,35331110600,35800864700,37637790500,40522491000,42608708500,45184455600,47264028300,50780883100,52747617800,56601942600,60944726100,65757787700
"Services, value added (annual % growth)",3.80349849232525,3.34641288850062,1.0246042679247,6.71264717114988,9.84526801444865,1.32957637623765,5.13095372246694,7.6643725938163,5.14829530099719,6.04511892210952,4.6024073376243,7.4408697829931,3.87298246886927,7.30710686236907,7.67249903539529,7.89742100424337
"Services, value added (constant 2010 US$)",3943261689.56228,4075219506.9691,4116974379.96481,4393332344.21848,4825867688.27225,4890031285.00401,5140936527.25172,5534957057.51189,5819912991.61599,6171733653.12247,6455781975.63241,6936148305.91316,7204784113.81595,7731245388.21547,8324425116.05034,8981840013.64781
"Services, value added (current LCU)",15280001500,16960709500,18868120700,21673425600,24303720900,25691903500,28030968800,32608560500,36103116800,41976594900,47264071000,51927065800,59725860200,70317274400,80353909700,88654769700
"Services, value added (current US$)",2143594512.81017,1917175196.30163,1743717495.04302,2792853107.19526,3689787544.3132,3958670010.85025,4044509252.01211,4628347646.74258,4370202489.78351,4953750410.74702,6455781969.74052,7151404851.1536,7274769817.98354,7282915189.53583,7404047813.90165,6956660718.32115
"Services, value added per worker (constant 2010 US$)",14942.0290485837,15160.1750056135,15170.5643439589,15892.5386606739,17148.3294067392,16886.1649664211,17164.7314889648,17839.5197649423,18167.8617423925,19051.8205134477,19499.6685772309,19258.3229571197,18347.0163153399,20510.4471998025,20930.7481591482,21912.6206557597
Textiles and clothing (% of value added in manufacturing),,,,,,,,3.928103797167,5.24606545091182,4.88725640240792,5.49194643896759,4.71429732585548,5.10478237506717,5.68248009837551,5.73032241048759,5.73032240904183
Medium and high-tech Industry (including construction) (% manufacturing value added),7.36798070524424,6.70158314486371,6.70158314486371,6.70158314486371,6.70158314486371,6.70158314486371,6.70158314486371,6.70158314486371,7.86909817636772,7.08091011121314,7.45196972637299,7.44533853531659,7.88362631457742,7.28755420361142,7.34891006136963,7.34891006542814
Other manufacturing (% of value added in manufacturing),,,,,,,,55.9933341268897,46.0529602797902,48.1787572696664,47.9623520279449,50.1097293343087,48.3303907269517,46.5147886868164,46.0644824491315,46.0644824457338
Machinery and transport equipment (% of value added in manufacturing),,,,,,,,,,,,,,,,
"Food, beverages and tobacco (% of value added in manufacturing)",,,,,,,,33.3769789310796,40.8318760929303,39.8530762167126,39.0937318067145,37.7306348045192,38.6812005834037,40.5151770111967,40.8562850790113,40.8562850797962
Chemicals (% of value added in manufacturing),,,,,,,,6.70158314486371,7.86909817636772,7.08091011121314,7.45196972637299,7.44533853531659,7.88362631457742,7.28755420361142,7.34891006136963,7.34891006542814
"Industry (including construction), value added (% of GDP)",24.0124689042695,27.089588649776,27.7028384411361,24.6181401938841,25.578925472265,25.2960892734151,30.7438099059844,32.2129467298748,34.6371653900076,29.1227465301633,27.9175751224239,27.8088317008222,30.0391940284662,29.9742045500593,29.2153501570581,28.5536568331883
"Industry (including construction), value added (constant LCU)",14087010400,14218692000,15648941900,16352168400,19286007400,19286259800,22375467200,23540445000,24459616000,20574477100,23059690500,23622507700,25383661100,26864809100,28043418700,28805629100
"Industry (including construction), value added (annual % growth)",1.7001447625085,0.934773214904425,10.0589414272424,4.49376388827926,17.9415899361702,0.00130872085011902,16.017659370118,5.20649597877447,3.90464581277033,-15.8838916359112,12.0791084406223,2.44069711169801,7.45540406787548,5.83504481156187,4.387187698274,2.71796533851274
"Industry (including construction), value added (constant 2010 US$)",1924139539.96613,1942125881.00311,2137483185.81653,2233536633.3388,2634268617.16658,2634303092.38923,3056256788.50462,3215380675.29913,3340929902.20182,2810260216.90433,3149714595.96787,3226589589.13839,3467144880.62066,3669454338.08665,3830440187.40097,3934550224.00699
"Industry (including construction), value added (current LCU)",6389033500,8107771500,9565195500,8961320900,10707775500,11455857100,16311127700,19837665000,24284292300,21904435200,23059690500,25057860600,32100964300,36805787100,40540233300,42854068800
"Industry (including construction), value added (current US$)",920636545.721779,941756667.286159,907453537.24136,1184623435.16597,1657627366.59597,1801433664.08252,2408790917.81732,2815690379.53842,2939559906.55111,2584990641.63235,3149714595.96787,3450973075.70478,3909983471.37637,3812056540.06691,3735497461.4612,3326688516.44556
"Manufacturing, value added (% of GDP)",9.96378473387388,9.84665804889644,9.63290489623716,11.6654603724606,10.8024078405054,10.7049511825537,12.8526954479438,13.6421668195541,11.4197931682055,13.0307346417721,12.4774649571769,13.6533954122066,12.1900058944767,11.0014593831246,10.0249075064921,9.73022249299639
"Manufacturing, value added (constant LCU)",5935206900,6287501000,6536699800,7442824400,7469419500,8033052600,8250385300,8955151500,9396468500,9586676900,10306284800,10892039900,10147452000,10595712600,10584693400,10134285000
"Manufacturing, value added (annual % growth)",3.59817520663188,5.93566670776042,3.96339976725253,13.8621112751729,0.357325372341165,7.54587555297972,2.705480852945,8.54222165842364,4.92807966453724,2.02425411206349,7.50633308607698,5.68347480558661,-6.83607392954924,4.41746952831114,-0.103996780735642,-4.25528055446557
"Manufacturing, value added (constant 2010 US$)",810687715.128667,858807435.939463,892845407.856635,1016612631.80899,1020245246.68087,1097231683.3306,1126917076.43556,1223180831.01131,1283460156.8049,1309440651.80571,1407731628.69475,1487739701.14189,1386036715.29257,1447264464.84183,1445759356.38966,1384238239.63285
"Manufacturing, value added (current LCU)",2651079100,2947053000,3326035300,4246378200,4522072600,4847958500,6818997300,8401241200,8006474900,9800960300,10306284800,12302741900,13026679200,13508861300,13910909400,14603370300
"Manufacturing, value added (current US$)",382010879.27606,342314384.611811,315542165.131348,561341256.0974,700043748.161679,762341531.300615,1007014295.20786,1192443466.6591,969166089.672203,1156632911.24302,1407731628.69475,1694335830.65927,1586684433.61754,1399142556.78346,1281792494.03374,1133634813.1875
"Industry (including construction), value added per worker (constant 2010 US$)",33421.7924226684,31292.1459797027,32481.420450242,31636.0039759313,34852.1367780981,34816.8726733022,39372.4587795155,41102.9649795426,42630.6066620209,36802.5633550314,41750.9977675492,38566.5572718612,37358.9756481226,36508.0391767623,36264.3022498804,33013.8300726292
Financial intermediary services indirectly Measured (FISIM) (constant LCU),511833100,528494000,524116000,563467300,623101700,689791500,787748900,867069300,884504000,819778100,1011309600,1118645200,1169251600,1389491300,1462794700,1463721300
Financial intermediary services indirectly Measured (FISIM) (current LCU),403884200,455364900,488117600,546329800,468800300,517118800,644028300,648649200,763773000,794515600,1011309600,1099925100,1315442300,1524517300,1773931300,1930705100
Energy related methane emissions (% of total),2.34456527615004,2.56128763642,2.47365761086313,2.42628999021017,2.33921741170093,2.30419278119329,2.77763568888749,2.56650641553561,2.55884625399459,,,,,,,
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),107.419306061673,110.051102002822,111.859539260514,115.348009795583,118.157614212873,120.999153841691,123.354800943493,125.941806268672,126.457158333911,,,,,,,
Agricultural methane emissions (% of total),93.235736619028,92.5274672790076,92.6680735665162,92.7901189121306,92.9956998185756,93.0443902396425,91.5432244429047,92.124623211768,91.998190430092,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),4271.71647965837,3975.63693932385,4190.47808709993,4411.32576418971,4697.36159095596,4886.00284689825,4065.4345975094,4520.67502301163,4546.51377177898,,,,,,,
HFC gas emissions (thousand metric tons of CO2 equivalent),0,,,,,0,,,0,,0,,,,,
Total greenhouse gas emissions (% change from 1990),365.557553179506,329.582554829175,304.07624419032,292.25245136258,376.047309527573,323.756994619539,408.026665606203,400.840365995368,291.721368294795,447.561307200187,415.72367281942,418.574109260381,421.226436086236,,,
Total greenhouse gas emissions (kt of CO2 equivalent),33985.47,31359.313,29497.365,28634.234,34751.217,30934.05,37085.6941,36561.0978,28595.4652,39971.703287644,37647.5718011523,37855.6522446755,38049.2707847565,,,
Other greenhouse gas emissions (% change from 1990),59392.7499999993,53572.4999999993,47004.9999999994,43947.4999999995,57569.4999999993,46931.9999999994,67170.2499999992,63163.7499999992,43638.7499999995,71946.9999999991,65222.4999999992,65222.4999999992,65222.4999999992,,,
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",24073.2243501854,21662.1973353767,19477.14042696,18257.6033484268,23705.3386878776,19503.7887248802,27744.9597030258,26233.6753805351,18018.2080903625,29274.2575360418,26656.3120716052,26632.8646247497,26597.4021509779,,,
CO2 emissions from solid fuel consumption (% of total),0.446428571428571,0.545454545454545,0.208333333333333,1.17416829745597,0.186915887850467,2.22222222222222,7.23270440251572,6.67701863354037,25.5788313120176,12.9032258064516,8.98345153664303,2.46113989637306,8.12567713976165,4.04463040446304,1.85546875,
CO2 emissions from solid fuel consumption (kt),7.334,11.001,3.667,22.002,3.667,51.338,168.682,157.681,850.744,396.036,278.692,69.673,275.025,106.343,69.673,
CO2 emissions (kg per 2011 PPP $ of GDP),0.140006274590485,0.169881585357959,0.141485052744226,0.144496283759744,0.134749631293929,0.154762778640028,0.145915827686989,0.140215978227543,0.192380375351538,0.177009042087862,0.168722775658124,0.146505431681041,0.166722332523985,0.122627191410574,0.164673317979751,
CO2 emissions (kg per PPP $ of GDP),0.175942759574046,0.208904237159272,0.171275702937495,0.171731747296532,0.155949500191536,0.173700599332685,0.158960602459504,0.148755210593963,0.200202251449039,0.182812275185598,0.172247232090087,0.146505431681041,0.163585018864223,0.118244550112695,0.155839650042968,
CO2 emissions (metric tons per capita),0.915436614098857,1.10592803969135,0.950655217353498,0.997190169638187,1.02835808768992,1.19186202484626,1.18307304203231,1.17694070412666,1.62766896643525,1.47487463023367,1.46411820617932,1.31261774348878,1.54212943050432,1.17717807397325,1.65169281658111,
CO2 emissions from liquid fuel consumption (% of total),99.3303571428571,99.6363636363636,99.7916666666667,99.0215264187867,99.8130841121495,97.6190476190476,92.6100628930818,93.3229813664596,74.5314222712238,86.9772998805257,90.8983451536643,90.6735751295337,84.3986998916576,83.4030683403068,88.57421875,
CO2 emissions from liquid fuel consumption (kt),1631.815,2009.516,1756.493,1855.502,1958.178,2255.205,2159.863,2203.867,2478.892,2669.576,2819.923,2566.9,2856.593,2192.866,3325.969,
CO2 emissions (kt),1642.816,2016.85,1760.16,1873.837,1961.845,2310.21,2332.212,2361.548,3325.969,3069.279,3102.282,2830.924,3384.641,2629.239,3755.008,
CO2 emissions (kg per 2010 US$ of GDP),0.228171581059814,0.27686009100272,0.23058158125704,0.235489056609532,0.219604703499855,0.252220609360498,0.237802521368242,0.22851334010284,0.313526908256327,0.288475878050509,0.27497155106312,0.23876341312767,0.27171138094523,0.199848472698214,0.268372052836259,
CO2 emissions from gaseous fuel consumption (% of total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CO2 emissions from gaseous fuel consumption (kt),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CO2 intensity (kg per kg of oil equivalent energy use),1.61105722884773,1.66816788128577,1.57261468992376,1.60641404165724,1.60407526176619,1.74273398791814,1.75621547377362,1.72801589903295,2.28514019802443,2.07143961077483,2.0164630345465,1.78228583192675,2.05633247466524,1.51384358678648,2.07943479366015,
Energy use (kg of oil equivalent per capita),568.221040014577,662.959676959453,604.506128198246,620.755386705564,641.090921480596,683.903586611086,673.649139128816,681.093677891109,712.284072479414,712.004647667229,726.082343735399,736.479929299425,749.941679910187,777.608786170646,794.298922773079,
Electric power consumption (kWh per capita),1052.06202485162,1090.10830895029,1127.18016465364,1169.69832107314,1453.5485612595,1521.42061166371,1606.54019622415,1606.26838387372,1638.93992054396,1583.33990054992,1586.21985073204,1610.79352214331,1660.75568256375,1692.40343674306,1652.56902565727,
Combustible renewables and waste (% of total energy),15.3700109736759,13.3327708947984,14.9187362687926,14.275610559019,10.5201964288926,9.95108718611009,9.99280107471822,8.89908270306976,5.75831840695525,5.98509967854774,5.62114350750775,6.60256729080874,6.62543439694768,7.45038136293418,7.16575579679286,
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",86.9033527074772,101.837223497566,89.9680345419419,89.9495895906611,84.0045567098643,88.8045907826165,83.0853786827513,81.1427593380433,84.1875590468615,85.4521856042192,83.6726350880365,82.2008619810778,81.0775176573166,81.003871523399,79.1913833902426,
Fossil fuel energy consumption (% of total),62.1520957367416,66.8057047809757,62.959892142734,63.5819805361809,63.1975457835325,63.0833479176599,62.3573016379814,62.8892072728124,66.6077169202949,66.9695143391467,67.1141655026367,66.4328206264673,66.0827723638485,66.7739522811244,66.7190908320656,
Alternative and nuclear energy (% of total energy use),15.7147473848034,14.0912358015287,15.9302293396423,16.1454845037,19.3221733911784,19.0651128072515,19.2955029307759,19.8390115349943,17.5704374579605,18.1395923502055,18.0271311823316,18.5385287531156,18.6808524508494,17.9486428177847,17.785332290757,
"Energy imports, net (% of energy use)",63.0236154682739,69.7599958975072,65.3793543395306,66.5440747827638,68.213007281867,68.5475670325824,69.2553931697561,69.6389057999859,72.041055956226,72.0744840600035,73.6084452351254,73.1964338216546,72.6456292984034,75.3061526476612,74.441668794091,
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),11.507035906498,9.81959214573348,11.1150588660889,11.1173381062744,11.9041161475777,11.2606791066454,12.0358120267869,12.3239585165445,11.8782396273465,11.7024508259111,11.9513386777869,12.1653225513644,12.3338753935045,12.3450889592498,12.6276364572666,
GDP per unit of energy use (PPP $ per kg of oil equivalent),9.15671228954271,7.98532334226388,9.18177338030056,9.35420542180484,10.2858634352536,10.0329762511661,11.0481178770131,11.6165066899719,11.4141583398032,11.3309656513591,11.7067949950677,12.1653225513644,12.5704205002538,12.8026499770491,13.343425714103,
Renewable energy consumption (% of total final energy consumption),33.5140543292658,29.2987597998994,33.0062662009209,32.5622160495524,32.1070964842578,32.0569949466073,32.8620157687015,32.7677153430722,27.0257924773159,27.0754442900856,26.3739193412099,27.9422018019744,28.5574686092479,28.2723126913205,27.617471809356,26.4684298435307
"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),99.2181947405828,100,99.5801259622113,99.8592540464462,99.1298042059463,99.7590361445783,94.1469489414695,97.8426395939086,88.7404580152672,94.5637583892618,95.5555555555556,98.1818181818182,97.8088861838101,95.5672426746807,99.13217623498,97.7864583333333
Electricity production from oil sources (% of total),0,0,0.0699790062981106,0.0703729767769177,0.145032632342277,0.0602409638554217,0.62266500622665,0.190355329949239,0.636132315521628,0.201342281879195,0.229885057471264,0.41958041958042,1.27814972611077,1.35236664162284,0.867823765020027,1.7578125
Electricity production from nuclear sources (% of total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Electricity production from natural gas sources (% of total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric power transmission and distribution losses (% of output),14.498933901919,18.1668042939719,16.0951714485654,15.1301900070373,10.8049311094996,23.0722891566265,21.8555417185554,22.7157360406091,20.5470737913486,17.1140939597315,25.2107279693487,25.1748251748252,25.9281801582471,27.7235161532682,36.2483311081442,
Electricity production from hydroelectric sources (% of total),99.2181947405828,100,99.5801259622113,99.8592540464462,99.1298042059463,99.7590361445783,94.1469489414695,97.8426395939086,88.7404580152672,94.5637583892618,95.5555555555556,98.1818181818182,97.8088861838101,95.5672426746807,99.13217623498,97.7864583333333
"Electricity production from oil, gas and coal sources (% of total)",0.7818052594172,0,0.419874037788663,0.140745953553835,0.870195794053662,0.240963855421687,5.85305105853051,2.15736040609137,11.2595419847328,5.43624161073826,4.44444444444444,1.81818181818182,2.1911138161899,4.43275732531931,0.867823765020027,2.21354166666667
Electricity production from coal sources (% of total),0.7818052594172,0,0.349895031490553,0.0703729767769177,0.725163161711385,0.180722891566265,5.23038605230386,1.96700507614213,10.6234096692112,5.23489932885906,4.21455938697318,1.3986013986014,0.912964090079124,3.08039068369647,0,0.455729166666667
Access to electricity (% of population),36.5,35.9336738586426,36.9000473022461,37.8472175598145,38.7702522277832,39.6673049926758,40.5488662719727,43.7,42.3197860717773,44.1,44.1915588378906,42.3,46.2430114746094,47.4,48.4340667724609,49.5601348876953
"Access to electricity, urban (% of urban population)",73.2,71.9679565429688,72.1804580688477,72.3980407714844,72.6261291503906,72.8674697875977,73.1220779418945,77.6,73.6707077026367,78.4,74.2712554931641,70.1,74.9202346801758,72.2,75.6033172607422,75.9523162841797
"Access to electricity, rural (% of rural population)",18.9317541659173,18.2672155220665,18.914125340475,19.47985652981,20.0009695884657,20.4748366025984,20.9130333665762,22.3900543336552,21.7677988686528,20.6549023932944,22.7508277605157,21.636717266731,23.9901010459182,27.3082362171007,25.451482714025,26.2495306665945
Energy intensity level of primary energy (MJ/$2011 PPP GDP),3.68139096947598,4.31401807235088,3.81121669952183,3.81043533846877,3.55859246094514,3.76193101918585,3.51965433500366,3.3972850479652,3.524764722174,3.57771210228445,3.50320588586591,3.44158568942377,3.39455996289919,3.39019762563241,3.31100555699167,3.26071850470963
Access to clean fuels and technologies for cooking (% of population),32.51,33.22,33.76,34.64,35.13,35.87,36.52,37.31,37.72,38.34,38.88,39.59,40.11,40.53,41.25,41.32
Multilateral debt service (% of public and publicly guaranteed debt service),,,,,,,,,,,,,,,,
"Multilateral debt service (TDS, current US$)",,,,,,,,,,,,,,,,
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",,,,,,,,,,,,,,,,
Public and publicly guaranteed debt service (% of GNI),,,,,,,,,,,,,,,,
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",,,,,,,,,,,,,,,,
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",,,,,,,,,,,,,,,,
"IMF repurchases and charges (TDS, current US$)",,,,,,,,,,,,,,,,
Total debt service (% of GNI),,,,,,,,,,,,,,,,
"Total debt service (% of exports of goods, services and primary income)",,,,,,,,,,,,,,,,
"Debt service on external debt, total (TDS, current US$)",,,,,,,,,,,,,,,,
Net ODA received (% of central government expense),13.8178831524667,10.6532797361639,14.7457596378793,10.5031474826252,10.3614166272594,6.13933234629561,7.78647808106025,10.8736162738428,9.49865636150893,13.618895501616,8.12482211813133,6.46150713804877,6.12033870618681,6.05498544881092,4.90096583746148,3.30540579999913
Net ODA received per capita (current US$),84.9283756396376,60.0491755096311,72.9237497994894,78.9626191450559,91.9043163525524,58.4939535267654,75.7513885387282,110.066513365967,100.563082792648,159.11725076452,123.334374766975,128.997946400544,115.018152127954,116.874336806193,99.5060327346784,61.5057903049111
"Net ODA received (% of imports of goods, services and primary income)",8.21062181063626,5.79509396836603,8.25038525411553,7.21727580569455,6.39282302208406,3.72039902435756,4.536011558217,5.45368826845118,3.98317990897162,6.07126356612252,4.04208008663739,4.14432669242152,3.18218040426469,3.59900740082571,2.79922128111083,1.92571834412658
Net official development assistance received (constant 2015 US$),224370000,164470000,190610000,179430000,194280000,123820000,160490000,216410000,195330000,313230000,258320000,260580000,250620000,254260000,219140000,143120000
Net ODA received (% of GNI),3.86643340352483,3.08856721901001,3.97698236160977,2.87545137559885,2.62067072534707,1.58597825436628,1.88383869254988,2.57446063535037,2.46149035094758,3.80223667617615,2.40870850371525,2.30399084493452,2.02031540284962,2.06651923424528,1.77294460971381,1.22765929532058
Net ODA received (% of gross capital formation),22.8019223468902,13.8340574571345,21.6878175281134,15.5345999057503,13.9179093824973,7.93013347389751,8.40726395991816,10.3703706986766,8.699492711597,14.1026708113566,9.60154293208837,10.0194161236193,7.25757770489054,8.18816153282085,5.26517014759721,3.60972178608268
"Child employment in agriculture, male (% of male economically active children ages 7-14)",,,,,,,,,,,,,,,,
"Child employment in agriculture, female (% of female economically active children ages 7-14)",,,,,,,,,,,,,,,,
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",,,,,,,,,,,,,,,,6.64
"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",,,,,,,,,,7.79,,,,,,11.27
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",,,,,,,,,,,,,,,,5.73
"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",,,,,,,,,,1.75,,,,,,2.41
Average transaction cost of sending remittances from a specific country (%),,,,,,,,,,,,,,,,
Average transaction cost of sending remittances to a specific country (%),,,,,,,,,,,,,,,,
Urban poverty headcount ratio at national poverty lines (% of urban population),,,,17,,,,,,14.6,,,,,,
Urban poverty gap at national poverty lines (%),,,,6,,,,,,4.4,,,,,,
Poverty gap at $5.50 a day (2011 PPP) (%),,,,41.8,,,,,,35.4,,,,,,23.7
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),,,,73.2,,,,,,67.3,,,,,,50.1
Rural poverty headcount ratio at national poverty lines (% of rural population),,,,48.7,,,,,,37.4,,,,,,
Rural poverty gap at national poverty lines (%),,,,16.5,,,,,,11.6,,,,,,
Poverty headcount ratio at national poverty lines (% of population),,,,37.7,,,,,,28.7,,,,,,17.4
